CODIGO ANTERIOR,CODIGO GRUPO,CODIGO SUBGRUPO,CODIGO,EXISTENCIA,ultimo costo,ult pcio venta,ult. Precio compra,precio base
1010233,1,1,1,663.3170,54.2679,60.78,60.7842,14.5
1010001,1,1,2,2307.2230,45.1786,50.6,50.602,11.5
1010002,1,1,3,97.3120,124.1071,139,138.997,56
1010217,1,1,4,250.0000,407.3036,456.18,456.179,101
1020092,1,1,5,11.7251,69.5081,77.8491,77.8453,18.78
1020003,1,1,6,214.4530,64.3929,72.12,82.63,17
1010004,1,1,7,442.7820,25.9911,29.11,29.1146,6.3
1010005,1,1,8,449.9400,9.5089,10.65,10.6546,5.8
1010007,1,1,9,660.7838,7.0803,7.93,7.75,2.8
1010008,1,1,10,191.7190,10.5000,11.7599,13.3099,3.2
1010009,1,1,11,267.7420,42.1875,47.25,47.2481,26
1020004,1,1,12,9.1340,512.1688,573.6291,573.6293,306
1010312,1,1,13,285.2930,31.7500,35.56,35.5564,8.8
1010010,1,1,14,2276.4800,36.4464,40.82,40.8169,8.8
1010013,1,1,15,2132.9160,23.3750,26.18,26.2201,7
1010014,1,1,16,380.2720,32.4464,36.34,36.3372,8.3
1010017,1,1,17,84.0140,83.9285,93.9999,94,17.6
1010314,1,1,18,6.1500,51.8211,58.0397,58.0408,13.4
1010276,1,1,19,0.0000,0.0000,0,0,0
1010018,1,1,20,927.3440,114.6518,128.41,128.4115,34
1010386,1,1,21,0.0000,0.0000,0,0,0
1010140,1,1,22,165.5360,37.2053,41.67,41.6666,10.3
1010365,1,1,23,4.9000,90.3735,101.2183,101.2163,16
1010246,1,1,24,0.0000,0.0000,0,0,0
1010269,1,1,25,1.0000,407.2000,456.064,456.0702,101
1010021,1,1,26,0.0000,0.0000,0,0,0
1010324,1,1,27,0.0000,0.0000,0,0,0
1010024,1,1,28,1154.0000,22.3839,25.07,25.0737,6.5
1010025,1,1,29,116.9030,98.7946,110.65,110.6517,29.5
1010335,1,1,30,114.5000,14.5714,16.3199,16.3239,5
1020014,1,1,31,0.1520,291.3816,326.3474,326.3667,74
1010026,1,1,32,630.1510,108.7411,121.79,121.6205,28
1010027,1,1,33,337.5000,39.0178,43.7,43.7024,9
1010187,1,1,34,11138.8000,5.2321,5.86,5.8553,1.6
1020016,1,1,35,39.0930,189.3748,212.0998,212.1019,59
1010144,1,1,36,0.0000,0.0000,0,0,0
1010121,1,1,37,7.3150,9.7498,10.9198,10.9168,2.7
1010031,1,1,38,279.4000,84.5089,94.65,94.6543,21.8
1010032,1,1,39,976.3700,30.1786,33.8,33.8046,7.9
1010035,1,1,40,6.8500,22.3212,24.9997,25,3.78
1010208,1,1,41,451.0750,89.7232,100.49,100.4917,33
1010354,1,1,42,39.7000,114.4552,128.1898,128.1869,26
1010332,1,1,43,0.0000,0.0000,0,0,0
1010022,1,1,44,1198.4950,28.0000,31.36,31.3555,6.84
1010215,1,1,45,977.4270,28.0000,31.36,31.3555,6.84
1010348,1,1,46,175.7400,31.4732,35.25,35.2489,7.8
1010352,1,1,47,0.0000,0.0000,0,0,0
1010284,1,1,48,0.0000,0.0000,0,0,0
1010037,1,1,49,641.0000,32.7500,36.68,36.6819,8.7
1010039,1,1,50,1213.7000,36.4821,40.86,40.9061,8
1010334,1,1,51,0.0000,0.0000,0,0,0
1010376,1,1,52,0.0000,0.0000,0,0,0
1020022,1,1,53,17.4980,241.9105,270.9398,270.937,67
1010323,1,1,54,0.0000,0.0000,0,0,103.64
1010041,1,1,55,181.6500,22.8482,25.5899,25.5855,7
1010139,1,1,56,3208.3660,19.0982,21.39,25.5,8.3
1010319,1,1,57,32.0000,1.8034,2.0199,2.0206,1.29
1010124,1,1,58,1212.1370,15.9018,17.81,16.2845,4.15
1010043,1,1,59,366.5700,3.1339,3.51,3.51,1.52
1010183,1,1,60,0.0000,0.0000,0,0,0
1010168,1,1,61,55.7000,566.8391,634.8598,634.8584,123
1010234,1,1,62,377.0400,87.5982,98.11,131.7184,18
1020126,1,1,63,1679.0000,8.4554,9.47,9.4686,3
1010306,1,1,64,884.0000,7.1696,8.03,8.0281,3.5
1010252,1,1,65,115.0720,927.4017,1038.6899,1002.158,273
1010207,1,1,66,1959.7290,7.9643,8.92,8.84,2.57
1010206,1,1,67,24.5450,6.0354,6.7597,6.76,2.12
1010235,1,1,68,993.0500,131.2589,147.01,147.0111,33.5
1010281,1,1,69,0.0000,0.0000,0,0,0
1010349,1,1,70,132.7100,187.9375,210.49,208,142
1010210,1,1,71,600.2550,123.5803,138.41,138.4071,32.5
1010122,1,1,72,94.4820,95.9106,107.4199,107.4208,42
1010152,1,1,73,199.1800,47.4464,53.1399,53.1397,22.7
1010047,1,1,74,429.8250,74.7589,83.73,83.1006,21
1010202,1,1,75,117.8500,88.1874,98.7699,98.7653,20
1010260,1,1,76,137.0000,36.7589,41.17,41.1731,25.84
1010353,1,1,77,0.0000,0.0000,0,0,0
1010355,1,1,78,824.8700,123.6250,138.46,138.4568,28
1010263,1,1,79,8.3000,147.6422,165.3592,165.3599,69
1010050,1,1,80,576.9960,164.1786,183.88,181.1436,69
1010196,1,1,81,0.5320,1492.1429,1671.2,1671.2021,405
